OBJECTID_1 *;UTMNameFul;Status;NAME_Obshtina;L_NAME_Obshtina;Name_bg_naseleno_myasto;Descr_bg_naseleno_myasto;Name_en_naseleno_myasto;Descr_en_naseleno_myasto
5964;GN1166;заети площадки;Елин Пелин;Elin Pelin;Крушовица;село;Krushovitsa;village
5965;FN7157;заети площадки;Перник;Pernik;Рударци;село;Rudartsi;village
5966;FN9127;заети площадки;Столична;Stolichna;Бистрица;село;Bistritsa;village
5967;FN9177;заети площадки;Столична;Stolichna;Кокаляне;село;Kokalyane;village
5968;GN0167;заети площадки;Столична;Stolichna;Долни Пасарел;село;Dolni Pasarel;village
5969;GN0108;заети площадки;Столична;Stolichna;Герман;село;German;village
5970;GN2118;заети площадки;Ихтиман;Ihtiman;Вакарел;село;Vakarel;village
5971;FN8189;заети площадки;Столична;Stolichna;София;квартал;Sofia;quarter
5972;FN8199;заети площадки;Столична;Stolichna;София;квартал;Sofia;quarter
5973;FN9169;заети площадки;Столична;Stolichna;Панчарево;село;Pancharevo;village
5974;FN8230;заети площадки;Столична;Stolichna;София;квартал;Sofia;quarter
5975;FN9210;заети площадки;Столична;Stolichna;София;квартал;Sofia;quarter
5976;FN9250;заети площадки;Столична;Stolichna;София;квартал;Sofia;quarter
5977;GN0230;заети площадки;Столична;Stolichna;Лозен;село;Lozen;village
5978;GN0260;заети площадки;Столична;Stolichna;Лозен;село;Lozen;village
5979;FN9251;заети площадки;Столична;Stolichna;София;квартал;Sofia;quarter
5980;GN0201;заети площадки;Столична;Stolichna;Герман;село;German;village
5981;GN0211;заети площадки;Столична;Stolichna;Лозен;село;Lozen;village
5982;GN0231;заети площадки;Столична;Stolichna;Лозен;село;Lozen;village
5983;GN0251;заети площадки;Столична;Stolichna;Лозен;село;Lozen;village
5984;GN0291;заети площадки;Елин Пелин;Elin Pelin;Нови хан;село;Novi han;village
5985;GN1251;заети площадки;Елин Пелин;Elin Pelin;Нови хан;село;Novi han;village
5986;FN9232;заети площадки;Столична;Stolichna;София;квартал;Sofia;quarter
5987;GN0292;заети площадки;Елин Пелин;Elin Pelin;Нови хан;село;Novi han;village
5988;GN1292;заети площадки;Елин Пелин;Elin Pelin;Доганово;село;Doganovo;village
