type;la;bg
plants;Viscaria vulgaris;Лепило
plants;Vitis sylvestris;Горска лоза
plants;Vulpia ciliata;Ресничеста вулпия
plants;Vulpia myuros;Обикновена вулпия
plants;Wolffia arrhiza;Безкоренова волфия
plants;Xanthium italicum;Италианска рогачица
plants;Xanthium strumarium;Рогачица
plants;Xeranthemum annuum;Обикновено безсмъртниче
plants;Xeranthemum cylindraceum;Цилиндрично безсмъртниче
plants;Xolanthes guttatus;Капков ксолантес
plants;Zannichellia palustris;Блатна цаникелия
plants;Ziziphora capitata;Главеста зизифора
plants;Zostera marina;Морска трева
plants;Zostera noltii;Ниска морска трева
