OBJECTID_1;NAME_Obshtina;L_NAME_Obshtina;Name_bg_naseleno_myasto;Descr_bg_naseleno_myasto;Name_en_naseleno_myasto;Descr_en_naseleno_myasto;REG_NAME;REG_LNAME;EKATTE;POINT_X;POINT_Y;key_VIL_MUN
4823;Стамболово;Stambolovo;ДолноБотево;село;DolnoBotevo;village;Хасково;Haskovo;22575;25.712483;41.745979;ДОЛНОБОТЕВОСТАМБОЛОВО
4824;Маджарово;Madjarovo;ДолноСъдиево;село;DolnoSadievo;village;Хасково;Haskovo;22856;25.742174;41.708829;ДОЛНОСЪДИЕВОМАДЖАРОВО
4827;Маджарово;Madjarovo;Тополово;село;Topolovo;village;Хасково;Haskovo;72792;25.769306;41.678495;ТОПОЛОВОМАДЖАРОВО
4829;Стамболово;Stambolovo;Тънково;село;Tankovo;village;Хасково;Haskovo;73585;25.772722;41.742889;ТЪНКОВОСТАМБОЛОВО
4832;Хасково;Haskovo;Родопи;село;Rodopi;village;Хасково;Haskovo;62880;25.757304;41.919837;РОДОПИХАСКОВО
4834;Симеоновград;Simeonovgrad;Константиново;село;Konstantinovo;village;Хасково;Haskovo;38368;25.793006;41.993835;КОНСТАНТИНОВОСИМЕОНОВГРАД
4837;Маджарово;Madjarovo;Селскаполяна;село;Selskapolyana;village;Хасково;Haskovo;66086;25.836898;41.708395;СЕЛСКАПОЛЯНАМАДЖАРОВО
4838;Маджарово;Madjarovo;ДолниГлаванак;село;DolniGlavanak;village;Хасково;Haskovo;22375;25.824535;41.68229;ДОЛНИГЛАВАНАКМАДЖАРОВО
4842;Харманли;Harmanli;Смирненци;село;Smirnentsi;village;Хасково;Haskovo;67581;25.878107;41.803776;СМИРНЕНЦИХАРМАНЛИ
4845;Харманли;Harmanli;Преславец;село;Preslavets;village;Хасково;Haskovo;58244;25.881412;41.978719;ПРЕСЛАВЕЦХАРМАНЛИ
4849;Харманли;Harmanli;Лешниково;село;Leshnikovo;village;Хасково;Haskovo;43548;25.911243;41.843574;ЛЕШНИКОВОХАРМАНЛИ
4850;Харманли;Harmanli;Орешец;село;Oreshets;village;Хасково;Haskovo;53775;25.907631;41.764915;ОРЕШЕЦХАРМАНЛИ
4852;Маджарово;Madjarovo;МалкиВоден;село;MalkiVoden;village;Хасково;Haskovo;46499;25.952299;41.670389;МАЛКИВОДЕНМАДЖАРОВО
4860;Тополовград;Topolovgrad;Филипово;село;Filipovo;village;Хасково;Haskovo;76100;26.515287;41.914429;ФИЛИПОВОТОПОЛОВГРАД
4864;Стамболово;Stambolovo;Бялкладенец;село;Byalkladenets;village;Хасково;Haskovo;7781;25.633623;41.648135;БЯЛКЛАДЕНЕЦСТАМБОЛОВО
4865;Стамболово;Stambolovo;ДолноЧерковище;село;DolnoCherkovishte;village;Хасково;Haskovo;22887;25.73943;41.638033;ДОЛНОЧЕРКОВИЩЕСТАМБОЛОВО
4867;Стамболово;Stambolovo;Пчелари;село;Pchelari;village;Хасково;Haskovo;58815;25.686262;41.6433;ПЧЕЛАРИСТАМБОЛОВО
4868;Стамболово;Stambolovo;Голобрадово;село;Golobradovo;village;Хасково;Haskovo;15610;25.671106;41.633674;ГОЛОБРАДОВОСТАМБОЛОВО
4869;Стамболово;Stambolovo;Войводенец;село;Voyvodenets;village;Хасково;Haskovo;11822;25.736339;41.656477;ВОЙВОДЕНЕЦСТАМБОЛОВО
4870;Стамболово;Stambolovo;Долнополе;село;Dolnopole;village;Хасково;Haskovo;22770;25.74888;41.661203;ДОЛНОПОЛЕСТАМБОЛОВО
4871;Стамболово;Stambolovo;Рабово;село;Rabovo;village;Хасково;Haskovo;61025;25.665721;41.62251;РАБОВОСТАМБОЛОВО
4872;Маджарово;Madjarovo;Горнополе;село;Gornopole;village;Хасково;Haskovo;16907;25.853074;41.658761;ГОРНОПОЛЕМАДЖАРОВО
4874;Маджарово;Madjarovo;Маджарово;град;Madzharovo;town;Хасково;Haskovo;46084;25.860653;41.632923;МАДЖАРОВОМАДЖАРОВО
4876;Ивайловград;Ivaylovgrad;Горноселци;село;Gornoseltsi;village;Хасково;Haskovo;16941;25.984745;41.575177;ГОРНОСЕЛЦИИВАЙЛОВГРАД
4879;Ивайловград;Ivaylovgrad;Глумово;село;Glumovo;village;Хасково;Haskovo;15179;25.90283;41.534133;ГЛУМОВОИВАЙЛОВГРАД
4881;Ивайловград;Ivaylovgrad;Чернирид;село;Chernirid;village;Хасково;Haskovo;80995;25.972214;41.514113;ЧЕРНИРИДИВАЙЛОВГРАД
4882;Ивайловград;Ivaylovgrad;Брусино;село;Brusino;village;Хасково;Haskovo;6625;25.935694;41.511445;БРУСИНОИВАЙЛОВГРАД
4883;Ивайловград;Ivaylovgrad;Карловско;село;Karlovsko;village;Хасково;Haskovo;36508;25.92749;41.528369;КАРЛОВСКОИВАЙЛОВГРАД
