IME;UTMname;UTMfullNam;Index_1km;UTMNameFul;Status;X_1;Y_1;X_2;Y_2;X_3;Y_3;X_4;Y_4
60;FM;FM60;59;FM6059;незаети площадки;22.99268282;41.62446296;22.99240562;41.61546116;22.98041009;41.61566851;22.98068563;41.62467038
60;FM;FM60;64;FM6064;незаети площадки;23.00328681;41.57924543;23.00300857;41.57024361;22.99102149;41.57045188;22.99129806;41.57945377
60;FM;FM60;76;FM6076;незаети площадки;23.0158356;41.5970393;23.01555545;41.58803758;23.00356517;41.58824723;23.00384366;41.59724902
60;FM;FM60;81;FM6081;незаети площадки;23.02641961;41.55181989;23.02613843;41.54281815;23.01415659;41.54302872;23.01443611;41.55203053
60;FM;FM60;88;FM6088;незаети площадки;23.02839143;41.6148316;23.02810936;41.60582997;23.01611588;41.60604101;23.01639629;41.6150427
61;FM;FM61;30;FM6130;незаети площадки;22.96896231;41.63387847;22.96868831;41.62487654;22.95669087;41.62508146;22.9569632;41.63408344
61;FM;FM61;60;FM6160;незаети площадки;23.00495888;41.63325602;23.00467989;41.6242543;22.99268282;41.62446296;22.99296015;41.63346476
61;FM;FM61;86;FM6186;незаети площадки;23.03065265;41.68684404;23.03036955;41.67784254;23.01836272;41.67805411;23.01864416;41.68705567
61;FM;FM61;90;FM6190;незаети площадки;23.04095431;41.63262232;23.04067032;41.62362079;23.02867364;41.62383321;23.02895596;41.6328348
61;FM;FM61;93;FM6193;незаети площадки;23.04180708;41.6596268;23.0415227;41.65062533;23.02952101;41.65083795;23.02980373;41.65983949
62;FM;FM62;56;FM6256;незаети площадки;22.99741464;41.7774913;22.99713528;41.76848976;22.98511133;41.76869822;22.985389;41.77769983
62;FM;FM62;66;FM6266;незаети площадки;23.00944015;41.77728152;23.00915911;41.76828004;22.99713528;41.76848976;22.99741464;41.7774913
62;FM;FM62;69;FM6269;незаети площадки;23.01028402;41.80428585;23.0100026;41.79528442;22.99797374;41.79549434;22.99825348;41.80449584
63;FM;FM63;9;FM6309;незаети площадки;22.94081896;41.89554419;22.94054639;41.88654253;22.92849992;41.88674552;22.9287708;41.89574725
63;FM;FM63;30;FM6330;незаети площадки;22.9744685;41.81391363;22.974192;41.80491202;22.96216107;41.80511823;22.96243589;41.8141199
63;FM;FM63;39;FM6339;незаети площадки;22.9769627;41.89492742;22.97668506;41.88592595;22.96463896;41.88613274;22.96491491;41.89513427
63;FM;FM63;57;FM6357;незаети площадки;23.00049598;41.87650723;23.00021522;41.86750586;22.98817276;41.86771504;22.98845183;41.87671648
63;FM;FM63;60;FM6360;незаети площадки;23.01056557;41.81328727;23.01028402;41.80428585;22.99825348;41.80449584;22.99853334;41.81349731
64;FM;FM64;9;FM6409;незаети площадки;22.94355151;41.98555995;22.9432777;41.97655845;22.93121429;41.97676208;22.93148641;41.98576366
64;FM;FM64;17;FM6417;незаети площадки;22.95506559;41.96735208;22.95479032;41.95835061;22.94273044;41.95855539;22.943004;41.96755693
64;FM;FM64;38;FM6438;незаети площадки;22.97946715;41.97593993;22.97918837;41.9669386;22.96712704;41.96714598;22.96740412;41.97614737
64;FM;FM64;51;FM6451;незаети площадки;23.00162031;41.91251255;23.00133903;41.90351124;22.98928981;41.90372069;22.98956939;41.91272206
64;FM;FM64;68;FM6468;незаети площадки;23.01565546;41.97531001;23.01537159;41.96630888;23.00331065;41.96652006;23.00359282;41.97552125
65;FM;FM65;11;FM6511;незаети площадки;22.95616789;42.00335782;22.95589213;41.99435641;22.94382545;41.99456144;22.94409952;42.00356292
65;FM;FM65;15;FM6515;незаети площадки;22.95727221;42.03936331;22.95699594;42.03036196;22.94492247;42.03056725;22.94519704;42.03956866
65;FM;FM65;76;FM6576;незаети площадки;23.03000719;42.04710545;23.02972058;42.03810451;23.01764617;42.03831748;23.01793108;42.04731849
65;FM;FM65;89;FM6589;незаети площадки;23.04294889;42.07389366;23.04266018;42.06489283;23.0305808;42.06510728;23.0308678;42.07410817
65;FM;FM65;91;FM6591;незаети площадки;23.05271026;42.00167139;23.05242091;41.99267051;23.04035527;41.99288568;23.04064292;42.00188663
66;FM;FM66;5;FM6605;незаети площадки;22.94794962;42.12958193;22.9476738;42.12058067;22.93558315;42.12078534;22.93585726;42.12978666
66;FM;FM66;18;FM6618;незаети площадки;22.96087522;42.15637941;22.9605973;42.14737826;22.94850165;42.14758439;22.94877785;42.1565856
