form_main_source;form_main_rain;form_main_wind_direction;form_main_wind_force;form_main_cloud_level;form_main_threats;form_birds_name;form_birds_count_units;form_birds_count_type;form_birds_nesting;form_birds_sex;form_birds_age;form_birds_marking;form_birds_status;form_birds_behaviour;form_birds_death;form_birds_nest_substrate;form_birds_nest_location;form_birds_nest_height;form_birds_nest_position;form_birds_age_individual;form_birds_nest_success;form_herp_name;form_herp_gender;form_herp_age;form_herp_habitat;form_herp_danger_observation;form_cbm_distance;form_cbm_visit_number;form_cbm_sector;form_cbm_habitat;form_ciconia_substratum;form_ciconia_column;form_ciconia_column_type;form_ciconia_tree;form_ciconia_building;form_ciconia_not_occupied;form_ciconia_new_birds
;;;;;;Ardea cinerea | Сива чапла;;;;;;;;;;;;;;;;Lepus europeus | Див заек;;;;;;;;;;;;;;;
;;;;;;Ardea purpurea | Ръждива чапла;;;;;;;;;;;;;;;;Oryctolagus cuniculus | Заек подземник;;;;;;;;;;;;;;;
;;;;;;Ardeola ralloides | Гривеста чапла;;;;;;;;;;;;;;;;Sciurus vulgaris | Катерица;;;;;;;;;;;;;;;
;;;;;;Arenaria interpres | Камъкообръщач;;;;;;;;;;;;;;;;Spermophilus citellus | Лалугер;;;;;;;;;;;;;;;
;;;;;;Asio flammeus | Блатна сова;;;;;;;;;;;;;;;;Dryomys nitedula | Горски сънливец;;;;;;;;;;;;;;;
;;;;;;Asio otus | Горска ушата сова;;;;;;;;;;;;;;;;Glis glis | Обикновен (голям) сънливец;;;;;;;;;;;;;;;
;;;;;;Athene noctua | Домашна кукумявка;;;;;;;;;;;;;;;;Muscardinus avellanarius | Лешников сънливец;;;;;;;;;;;;;;;
;;;;;;Aythya collaris | Пръстенчатоклюна потапница;;;;;;;;;;;;;;;;Myomimus roachi | Мишевиден сънливец;;;;;;;;;;;;;;;
;;;;;;Aythya ferina | Кафявоглава потапница;;;;;;;;;;;;;;;;Micromys minutus | Оризищна мишка;;;;;;;;;;;;;;;
;;;;;;Aythya fuligula | Качулата потапница;;;;;;;;;;;;;;;;Sylvaemus epimelas | Скална мишка;;;;;;;;;;;;;;;
;;;;;;Aythya marila | Планинска потапница;;;;;;;;;;;;;;;;Sylvaemus flavicollis | Жълтогърла горска мишка;;;;;;;;;;;;;;;
;;;;;;Aythya nyroca | Белоока потапница;;;;;;;;;;;;;;;;Sylvaemus sylvaticus | Обикновена горска мишка;;;;;;;;;;;;;;;
;;;;;;Bombycilla garrulus | Копринарка;;;;;;;;;;;;;;;;Sylvaemus uralensis | Малка горска мишка;;;;;;;;;;;;;;;
